horizon,mse,rmse,mae,mape,mdape,coverage
30 days,194.37325212905156,13.941780809102243,10.343820407199992,0.4052196526281373,0.3904139524329868,0.125
31 days,206.78283938023813,14.379945736345396,10.762301330573816,0.40741287476121096,0.39688959849513694,0.12500000000000003
32 days,218.5019368851215,14.781811015065829,11.293871674779998,0.42932970875278925,0.448753513295467,0.125
33 days,212.00372195493765,14.560347590457367,11.328686056559665,0.4319606816235929,0.448753513295467,0.13541666666666666
34 days,203.00009581032418,14.247810211057844,11.082556473898041,0.429029089205779,0.4207367208327335,0.14166666666666666
35 days,194.98164345055113,13.96358275839518,10.902157060066546,0.4205622083064353,0.4064810282500868,0.16666666666666666
36 days,185.23923996951896,13.610262303479642,10.451135258698088,0.42681118654456746,0.4207367208327335,0.1875
37 days,189.50672071714592,13.766144003211137,10.599847068417109,0.4092591134777938,0.4064810282500868,0.20833333333333334
38 days,193.81387818718312,13.921705290200016,10.98074168046907,0.3921034557775973,0.3954268150121131,0.20833333333333334
39 days,194.4324372843429,13.943903229883048,11.32898178796465,0.40302326044951275,0.39153337560155066,0.16666666666666669
40 days,183.36903979818476,13.541382492130733,11.066415875258599,0.4020125423199008,0.37497254451668594,0.16666666666666669
41 days,166.42082803683326,12.900419684523184,10.355024280671271,0.41391073218416996,0.37497254451668594,0.16666666666666669
42 days,142.42010026938755,11.933989285623962,9.728080456943344,0.43366561503147166,0.37497254451668594,0.11458333333333333
43 days,125.71841378175284,11.212422297690756,9.332004769562312,0.42649874378134567,0.3586325240927599,0.08333333333333333
44 days,137.68266759815867,11.733825786935762,9.832293798027191,0.3997660413011003,0.3527035461117789,0.08333333333333333
45 days,169.04921051847404,13.001892574485995,10.904766774620622,0.40834402172475553,0.3416058772858681,0.0625
46 days,174.7878189513343,13.220734433129435,11.356469938732191,0.42558036937781135,0.37669387387276926,0.020833333333333332
47 days,165.38109864835187,12.860058267688832,11.065212844399118,0.43121566568654074,0.378972971876554,0.0
48 days,151.96510285776012,12.327412658695259,10.442584255821089,0.440668760130572,0.378972971876554,0.0
49 days,158.92650246272197,12.60660550912584,10.287148068694497,0.47442110947016625,0.44489912888952987,0.0
50 days,160.96559442056525,12.687221698250774,10.070166414297018,0.47355828779725895,0.44489912888952987,0.0
51 days,170.7258048188262,13.066208509695006,10.344239845678477,0.4393109334500577,0.4376871968443311,0.0
52 days,199.70371673538273,14.131656546045221,11.31085280763863,0.44047262055031505,0.4120424765645808,0.0
53 days,209.44266558950468,14.472134106257608,11.783393119853537,0.4454071936257238,0.4120424765645808,0.0
54 days,201.44629313121408,14.193177696739165,11.566419151447098,0.4394407492215611,0.3847600946749129,0.0
55 days,204.12664980570716,14.2872897991784,11.434696974823396,0.45204043804310107,0.3847600946749129,0.0
56 days,192.08330212628843,13.859412041146927,10.737607617573428,0.4754076140094997,0.41364126088198594,0.0
57 days,195.23673976965694,13.972714116078413,10.637701392392584,0.46858074887205503,0.3889075441953924,0.0
58 days,220.0723025079381,14.834834091014908,11.216403965893374,0.4367813813454572,0.3790551451414665,0.0
59 days,271.3582710769403,16.472955748041706,12.633412608601184,0.4516702150321301,0.3790551451414665,0.0
60 days,263.80488746369036,16.24207152624598,12.722287130055678,0.4592745992646933,0.3389342737022899,0.0
